院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州墨尔本理工职业学院,计算机应用技术 （中外合作办学）,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州墨尔本理工职业学院,大数据技术 （中外合作办学）,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州墨尔本理工职业学院,人工智能技术应用 （中外合作办学）,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州墨尔本理工职业学院,电子商务 （中外合作办学）,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,工业互联网应用,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,移动互联应用技术,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,软件技术,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,大数据技术,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,云计算技术应用,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,信息安全技术应用,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,人工智能技术应用,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,区块链技术应用,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,工业软件开发技术,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,动漫制作技术,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,智能互联网络技术,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,网络规划与优化技术,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州软件职业技术学院,游戏艺术设计,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,物联网应用技术,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,计算机应用技术,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,计算机网络技术,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,软件技术,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,数字媒体技术,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,大数据技术,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,人工智能技术应用,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州英华职业学院,动漫制作技术,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
